Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Setup,Annuity Information Setup,A88559,Annuity plan A88559 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88565,Annuity plan A88565 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88569,Annuity plan A88569 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88A42,Annuity plan A88A42 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88A45,Annuity plan A88A45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88A49,Annuity plan A88A49 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88A52,Annuity plan A88A52 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88A55,Annuity plan A88A55 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88A59,Annuity plan A88A59 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88A62,Annuity plan A88A62 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88A65,Annuity plan A88A65 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88A69,Annuity plan A88A69 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88F42,Annuity plan A88F42 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88F45,Annuity plan A88F45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88F49,Annuity plan A88F49 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88F52,Annuity plan A88F52 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88F55,Annuity plan A88F55 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88F59,Annuity plan A88F59 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88F62,Annuity plan A88F62 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88F65,Annuity plan A88F65 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
