Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Values,Cash Values,9DIS70 / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9DIS80 / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9DIS90 / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9DS24B / M / ST / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9DS24C / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9FTRWP / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9GPO10 / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9GPO79 / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9JPO10 / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9JPO46 / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9L01WP / F / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9L01WP / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9L05WP / F / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9L05WP / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9L16PF / F / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9L16PF / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9OLDWP / F / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9OLDWP / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9POADB / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9POADB / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9SLADB / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9STRWP / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9WP646 / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9WPL10 / F / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9WPL10 / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,A60MIR / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,A60MIR / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,A96DAR / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
