SOURCE_POLICY,MPOLICY,PLAN_CODE,QLA_PLAN,MLOANINTX,MLOANINTX_SOURCE,MLOANINTX_RAW_QUIKPLAN,NOTE
9011105523,011105523C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011105839,011105839C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011106598,011106598C,658 CEN I,1658C1,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011107137,011107137C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011109446,011109446C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011109994,011109994C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011113250,011113250C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011114096,011114096C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011114950,011114950C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011118229,011118229C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011118555,011118555C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011118615,011118615C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011120297,011120297C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011122230,011122230C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011122680,011122680C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011129276,011129276C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011129883,011129883C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011130547,011130547C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011132516,011132516C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011135494,011135494C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011136476,011136476C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011139474,011139474C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011139778,011139778C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011140185,011140185C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011140516,011140516C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011140652,011140652C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011141382,011141382C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011145429,011145429C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011148847,011148847C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011151209,011151209C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011151285,011151285C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011151436,011151436C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011152459,011152459C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011152870,011152870C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011154752,011154752C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011154852,011154852C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011158068,011158068C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011158069,011158069C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011158071,011158071C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011158320,011158320C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011158530,011158530C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011158531,011158531C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011160478,011160478C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011160479,011160479C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011160480,011160480C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011162203,011162203C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011163086,011163086C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011175485,011175485C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011176782,011176782C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011177896,011177896C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011177899,011177899C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011178455,011178455C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011179153,011179153C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011179371,011179371C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011181080,011181080C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011181544,011181544C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011183653,011183653C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011183936,011183936C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
