POLICY_NUMBER,ACCRUAL_DATE,LAST_CHG_DATE,LAST_CHG_TIME,LOAN_BALANCE,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,ACCRUED_INT_AMT,INTEREST_RATE,INTEREST_TYPE,INT_METHOD,STATUS_CODE,TYPE_CODE,LAST_REPAY_DATE,CAPITALIZED_DATE,INT_START_DATE,_LATEST_BALANCE_CLASS
9010854307   ,    20260527,     20260527,       181210,     6044.82,         5896.43,        148.39,            .00,        .0740,F            ,D         ,A          ,R        ,       20260527,        20260527,      20260527,ACTIVE_CANDIDATE
9010855657   ,    20221024,     20221024,       130802,         .00,          358.58,       -358.58,            .00,        .0740,F            ,D         ,H          ,         ,       20221024,               0,      20221024,ZERO_BALANCE_HOLD
9010855945   ,    20260508,     20260511,       100849,     4922.33,         4767.23,        155.10,            .00,        .0740,F            ,D         ,A          ,R        ,       20260508,        20260508,      20260508,ACTIVE_CANDIDATE
9010856188   ,    20240306,     20240318,       135304,         .00,         2316.82,      -2316.82,            .00,        .0740,F            ,D         ,H          ,         ,       20240306,               0,      20240306,ZERO_BALANCE_HOLD
9010856189   ,    20251006,     20251006,       181111,     2237.36,         2071.80,        165.56,            .00,        .0740,F            ,D         ,A          ,R        ,              0,        20251006,      20251006,ACTIVE_CANDIDATE
9010856925   ,    20190713,     20190709,       111404,         .00,         9128.84,      -9128.84,            .00,        .0740,F            ,D         ,H          ,         ,       20190713,               0,      20190713,ZERO_BALANCE_HOLD
9010858099   ,    20210620,     20210603,       111110,    29802.15,        30575.77,       -773.62,            .00,        .0740,F            ,D         ,H          ,         ,       20081027,               0,      20210620,ACTIVE_CANDIDATE
9010858124   ,    20260421,     20260422,       131036,     3066.78,         2951.76,        115.02,            .00,        .0740,F            ,D         ,A          ,R        ,       20260421,        20260421,      20260421,ACTIVE_CANDIDATE
9010858434   ,    20260323,     20260522,       180850,     1905.58,         1898.50,          7.08,            .00,        .0740,F            ,D         ,H          ,A        ,       20260323,               0,      20260323,ACTIVE_CANDIDATE
9010858435   ,    20260323,     20260522,       180908,     1714.62,         1639.05,         75.57,            .00,        .0740,F            ,D         ,A          ,A        ,       20260323,        20260323,      20260323,ACTIVE_CANDIDATE
9010858613   ,    20251025,     20251226,       182259,       79.10,           73.25,          5.85,            .00,        .0740,F            ,D         ,A          ,A        ,              0,        20251025,      20251025,ACTIVE_CANDIDATE
9010860471   ,    20231207,     20231219,       152717,         .00,         6761.15,      -6761.15,            .00,        .0740,F            ,D         ,H          ,         ,       20231207,               0,      20231207,ZERO_BALANCE_HOLD
9010860472   ,    20210129,     20210215,       120445,         .00,        15742.55,     -15742.55,            .00,        .0740,F            ,D         ,H          ,         ,       20210129,               0,      20210129,ZERO_BALANCE_HOLD
9010862097   ,    20251225,     20260223,       180736,      137.42,          127.25,         10.17,            .00,        .0740,F            ,D         ,A          ,A        ,              0,        20251225,      20251225,ACTIVE_CANDIDATE
