PLAN,AGE,CNTL,CV0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
103PFN,15,00,.00,.00,.00,.00,1.91,5.45,9.15,13.00,17.02,21.20,F,NS,00,0000,00,19000101
103PFN,15,01,25.58,30.12,34.84,39.76,44.86,50.18,55.71,61.45,67.41,73.59,F,NS,00,0000,00,19000101
103PFN,15,02,79.99,86.64,93.51,100.66,108.09,115.80,123.81,132.12,140.73,149.63,F,NS,00,0000,00,19000101
103PFN,15,03,158.84,168.34,178.12,188.18,198.53,209.15,220.04,231.18,242.58,254.23,F,NS,00,0000,00,19000101
103PFN,15,04,266.15,278.30,290.68,303.31,316.21,329.38,342.83,356.56,370.58,384.89,F,NS,00,0000,00,19000101
103PFN,15,05,399.48,414.34,429.47,444.84,460.44,476.26,492.24,508.37,524.62,540.99,F,NS,00,0000,00,19000101
103PFN,15,06,557.46,574.00,590.60,607.25,623.96,640.70,657.12,673.15,688.93,704.44,F,NS,00,0000,00,19000101
103PFN,15,07,719.63,734.87,749.49,763.60,777.24,790.90,806.00,822.00,838.56,855.72,F,NS,00,0000,00,19000101
103PFN,15,08,873.79,894.29,919.24,953.20,,,,,,,F,NS,00,0000,00,19000101
103PFN,16,00,.00,.00,.00,.00,2.38,6.10,9.95,13.99,18.18,22.57,F,NS,00,0000,00,19000101
103PFN,16,01,27.13,31.86,36.80,41.92,47.25,52.79,58.55,64.53,70.73,77.15,F,NS,00,0000,00,19000101
103PFN,16,02,83.82,90.71,97.89,105.34,113.08,121.11,129.44,138.08,147.01,156.24,F,NS,00,0000,00,19000101
103PFN,16,03,165.77,175.58,185.68,196.06,206.71,217.63,228.81,240.24,251.93,263.88,F,NS,00,0000,00,19000101
103PFN,16,04,276.07,288.49,301.16,314.10,327.31,340.81,354.57,368.64,382.99,397.63,F,NS,00,0000,00,19000101
103PFN,16,05,412.54,427.71,443.12,458.77,474.64,490.68,506.85,523.15,539.58,556.09,F,NS,00,0000,00,19000101
103PFN,16,06,572.68,589.34,606.04,622.80,639.59,656.07,672.14,687.97,703.53,718.77,F,NS,00,0000,00,19000101
103PFN,16,07,734.06,748.72,762.87,776.56,790.26,805.40,821.45,838.06,855.28,873.40,F,NS,00,0000,00,19000101
103PFN,16,08,893.96,918.99,953.05,,,,,,,,F,NS,00,0000,00,19000101
103PFN,17,00,.00,.00,.00,.00,2.94,6.81,10.86,15.07,19.47,24.05,F,NS,00,0000,00,19000101
103PFN,17,01,28.79,33.74,38.88,44.23,49.79,55.56,61.57,67.79,74.23,80.91,F,NS,00,0000,00,19000101
103PFN,17,02,87.83,95.03,102.50,110.26,118.32,126.68,135.34,144.30,153.57,163.13,F,NS,00,0000,00,19000101
103PFN,17,03,172.97,183.10,193.51,204.20,215.15,226.37,237.83,249.56,261.55,273.77,F,NS,00,0000,00,19000101
103PFN,17,04,286.24,298.95,311.92,325.18,338.71,352.53,366.63,381.03,395.72,410.67,F,NS,00,0000,00,19000101
103PFN,17,05,425.89,441.36,457.05,472.97,489.06,505.28,521.64,538.12,554.68,571.33,F,NS,00,0000,00,19000101
103PFN,17,06,588.04,604.79,621.60,638.45,654.98,671.10,686.98,702.59,717.87,733.21,F,NS,00,0000,00,19000101
103PFN,17,07,747.92,762.11,775.85,789.59,804.78,820.88,837.54,854.82,873.00,893.63,F,NS,00,0000,00,19000101
103PFN,17,08,918.73,952.90,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,18,00,.00,.00,.00,.00,3.53,7.59,11.81,16.23,20.82,25.58,F,NS,00,0000,00,19000101
103PFN,18,01,30.55,35.70,41.07,46.65,52.44,58.47,64.71,71.17,77.87,84.81,F,NS,00,0000,00,19000101
103PFN,18,02,92.04,99.54,107.32,115.41,123.79,132.48,141.48,150.77,160.36,170.23,F,NS,00,0000,00,19000101
103PFN,18,03,180.40,190.84,201.57,212.56,223.81,235.31,247.08,259.11,271.37,283.88,F,NS,00,0000,00,19000101
103PFN,18,04,296.63,309.65,322.95,336.53,350.39,364.54,378.99,393.72,408.72,424.00,F,NS,00,0000,00,19000101
103PFN,18,05,439.51,455.26,471.23,487.37,503.65,520.06,536.59,553.21,569.91,586.68,F,NS,00,0000,00,19000101
103PFN,18,06,603.49,620.35,637.26,653.84,670.01,685.94,701.61,716.94,732.33,747.09,F,NS,00,0000,00,19000101
103PFN,18,07,761.33,775.11,788.89,804.14,820.29,837.01,854.34,872.58,893.28,918.46,F,NS,00,0000,00,19000101
103PFN,18,08,952.75,,,,,,,,,,F,NS,00,0000,00,19000101
